2020/03/06 00:00:45.694 [D]  Partition:0, Offset:144433, Key:, Value:1adasdsadadadsa Fri Mar 6 00:00:45 CST 2020
2020/03/06 00:00:46.705 [D]  Partition:0, Offset:144434, Key:, Value:1adasdsadadadsa Fri Mar 6 00:00:46 CST 2020
2020/03/06 00:00:47.754 [D]  Partition:0, Offset:144435, Key:, Value:1adasdsadadadsa Fri Mar 6 00:00:47 CST 2020
2020/03/06 00:00:48.737 [D]  Partition:0, Offset:144436, Key:, Value:1adasdsadadadsa Fri Mar 6 00:00:48 CST 2020
2020/03/06 00:00:49.751 [D]  Partition:0, Offset:144437, Key:, Value:1adasdsadadadsa Fri Mar 6 00:00:49 CST 2020
2020/03/06 00:00:50.763 [D]  Partition:0, Offset:144438, Key:, Value:1adasdsadadadsa Fri Mar 6 00:00:50 CST 2020
2020/03/06 00:00:51.772 [D]  Partition:0, Offset:144439, Key:, Value:1adasdsadadadsa Fri Mar 6 00:00:51 CST 2020
2020/03/06 00:00:52.805 [D]  Partition:0, Offset:144440, Key:, Value:1adasdsadadadsa Fri Mar 6 00:00:52 CST 2020
2020/03/06 00:00:53.805 [D]  Partition:0, Offset:144441, Key:, Value:1adasdsadadadsa Fri Mar 6 00:00:53 CST 2020
2020/03/06 00:00:54.817 [D]  Partition:0, Offset:144442, Key:, Value:1adasdsadadadsa Fri Mar 6 00:00:54 CST 2020
2020/03/06 00:00:55.848 [D]  Partition:0, Offset:144443, Key:, Value:1adasdsadadadsa Fri Mar 6 00:00:55 CST 2020
2020/03/06 00:00:57.047 [D]  Partition:0, Offset:144444, Key:, Value:1adasdsadadadsa Fri Mar 6 00:00:56 CST 2020
2020/03/06 00:00:57.872 [D]  Partition:0, Offset:144445, Key:, Value:1adasdsadadadsa Fri Mar 6 00:00:57 CST 2020
2020/03/06 00:00:58.877 [D]  Partition:0, Offset:144446, Key:, Value:1adasdsadadadsa Fri Mar 6 00:00:58 CST 2020
2020/03/06 00:00:59.879 [D]  Partition:0, Offset:144447, Key:, Value:1adasdsadadadsa Fri Mar 6 00:00:59 CST 2020
2020/03/06 00:01:00.894 [D]  Partition:0, Offset:144448, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:00 CST 2020
2020/03/06 00:01:01.905 [D]  Partition:0, Offset:144449, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:01 CST 2020
2020/03/06 00:01:03.089 [D]  Partition:0, Offset:144450, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:02 CST 2020
2020/03/06 00:01:03.925 [D]  Partition:0, Offset:144451, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:03 CST 2020
2020/03/06 00:01:04.939 [D]  Partition:0, Offset:144452, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:04 CST 2020
2020/03/06 00:01:05.957 [D]  Partition:0, Offset:144453, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:05 CST 2020
2020/03/06 00:01:06.968 [D]  Partition:0, Offset:144454, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:06 CST 2020
2020/03/06 00:01:07.981 [D]  Partition:0, Offset:144455, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:07 CST 2020
2020/03/06 00:01:08.992 [D]  Partition:0, Offset:144456, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:08 CST 2020
2020/03/06 00:01:10.010 [D]  Partition:0, Offset:144457, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:09 CST 2020
2020/03/06 00:01:11.023 [D]  Partition:0, Offset:144458, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:10 CST 2020
2020/03/06 00:01:12.047 [D]  Partition:0, Offset:144459, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:11 CST 2020
2020/03/06 00:01:13.051 [D]  Partition:0, Offset:144460, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:12 CST 2020
2020/03/06 00:01:14.064 [D]  Partition:0, Offset:144461, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:13 CST 2020
2020/03/06 00:01:15.095 [D]  Partition:0, Offset:144462, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:14 CST 2020
2020/03/06 00:01:16.095 [D]  Partition:0, Offset:144463, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:15 CST 2020
2020/03/06 00:01:17.123 [D]  Partition:0, Offset:144464, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:16 CST 2020
2020/03/06 00:01:18.129 [D]  Partition:0, Offset:144465, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:17 CST 2020
2020/03/06 00:01:19.141 [D]  Partition:0, Offset:144466, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:18 CST 2020
2020/03/06 00:01:20.157 [D]  Partition:0, Offset:144467, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:19 CST 2020
2020/03/06 00:01:21.186 [D]  Partition:0, Offset:144468, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:20 CST 2020
2020/03/06 00:01:22.184 [D]  Partition:0, Offset:144469, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:21 CST 2020
2020/03/06 00:01:23.205 [D]  Partition:0, Offset:144470, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:22 CST 2020
2020/03/06 00:01:24.218 [D]  Partition:0, Offset:144471, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:23 CST 2020
2020/03/06 00:01:25.241 [D]  Partition:0, Offset:144472, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:24 CST 2020
2020/03/06 00:01:26.031 [D]  Partition:0, Offset:144473, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:25 CST 2020
2020/03/06 00:01:27.012 [D]  Partition:0, Offset:144474, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:26 CST 2020
2020/03/06 00:01:28.023 [D]  Partition:0, Offset:144475, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:27 CST 2020
2020/03/06 00:01:29.036 [D]  Partition:0, Offset:144476, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:29 CST 2020
2020/03/06 00:01:30.050 [D]  Partition:0, Offset:144477, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:30 CST 2020
2020/03/06 00:01:31.070 [D]  Partition:0, Offset:144478, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:31 CST 2020
2020/03/06 00:01:32.079 [D]  Partition:0, Offset:144479, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:32 CST 2020
2020/03/06 00:01:33.091 [D]  Partition:0, Offset:144480, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:33 CST 2020
2020/03/06 00:01:34.138 [D]  Partition:0, Offset:144481, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:34 CST 2020
2020/03/06 00:01:35.122 [D]  Partition:0, Offset:144482, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:35 CST 2020
2020/03/06 00:01:36.153 [D]  Partition:0, Offset:144483, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:36 CST 2020
2020/03/06 00:01:37.191 [D]  Partition:0, Offset:144484, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:37 CST 2020
2020/03/06 00:01:38.166 [D]  Partition:0, Offset:144485, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:38 CST 2020
2020/03/06 00:01:39.179 [D]  Partition:0, Offset:144486, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:39 CST 2020
2020/03/06 00:01:40.199 [D]  Partition:0, Offset:144487, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:40 CST 2020
2020/03/06 00:01:41.247 [D]  Partition:0, Offset:144488, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:41 CST 2020
2020/03/06 00:01:42.226 [D]  Partition:0, Offset:144489, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:42 CST 2020
2020/03/06 00:01:43.242 [D]  Partition:0, Offset:144490, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:43 CST 2020
2020/03/06 00:01:44.260 [D]  Partition:0, Offset:144491, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:44 CST 2020
2020/03/06 00:01:45.279 [D]  Partition:0, Offset:144492, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:45 CST 2020
2020/03/06 00:01:46.353 [D]  Partition:0, Offset:144493, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:46 CST 2020
2020/03/06 00:01:47.304 [D]  Partition:0, Offset:144494, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:47 CST 2020
2020/03/06 00:01:48.329 [D]  Partition:0, Offset:144495, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:48 CST 2020
2020/03/06 00:01:49.337 [D]  Partition:0, Offset:144496, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:49 CST 2020
2020/03/06 00:01:50.349 [D]  Partition:0, Offset:144497, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:50 CST 2020
2020/03/06 00:01:51.370 [D]  Partition:0, Offset:144498, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:51 CST 2020
2020/03/06 00:01:52.374 [D]  Partition:0, Offset:144499, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:52 CST 2020
2020/03/06 00:01:53.391 [D]  Partition:0, Offset:144500, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:53 CST 2020
2020/03/06 00:01:54.407 [D]  Partition:0, Offset:144501, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:54 CST 2020
2020/03/06 00:01:55.519 [D]  Partition:0, Offset:144502, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:55 CST 2020
2020/03/06 00:01:56.463 [D]  Partition:0, Offset:144503, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:56 CST 2020
2020/03/06 00:01:57.452 [D]  Partition:0, Offset:144504, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:57 CST 2020
2020/03/06 00:01:58.470 [D]  Partition:0, Offset:144505, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:58 CST 2020
2020/03/06 00:01:59.483 [D]  Partition:0, Offset:144506, Key:, Value:1adasdsadadadsa Fri Mar 6 00:01:59 CST 2020
2020/03/06 00:02:00.497 [D]  Partition:0, Offset:144507, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:00 CST 2020
2020/03/06 00:02:01.527 [D]  Partition:0, Offset:144508, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:01 CST 2020
2020/03/06 00:02:02.522 [D]  Partition:0, Offset:144509, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:02 CST 2020
2020/03/06 00:02:03.549 [D]  Partition:0, Offset:144510, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:03 CST 2020
